[2013-12-08 00:49:10,334]runtime:INFO: Running iteration 1 ...
[2013-12-08 00:49:10,361]runtime:INFO: Creating instances of Acceptor..
[2013-12-08 00:49:10,503]runtime:INFO: 20 instances of Acceptor created.
[2013-12-08 00:49:10,517]runtime:INFO: Creating instances of Replica..
[2013-12-08 00:49:10,611]runtime:INFO: 10 instances of Replica created.
[2013-12-08 00:49:10,623]runtime:INFO: Creating instances of Leader..
[2013-12-08 00:49:10,653]runtime:INFO: 5 instances of Leader created.
[2013-12-08 00:49:10,676]runtime:INFO: Creating instances of Client..
[2013-12-08 00:49:10,712]runtime:INFO: 5 instances of Client created.
[2013-12-08 00:49:10,731]runtime:INFO: Starting procs...
[2013-12-08 00:49:10,735]runtime:INFO: Starting procs...
[2013-12-08 00:49:10,752]runtime:INFO: Starting procs...
[2013-12-08 00:49:53,995]Client(('Latitude', 26810)):INFO: Received result 9:495 time taken: 6.453756
[2013-12-08 00:49:54,067]Client(('Latitude', 21586)):INFO: Received result 11:504 time taken: 6.567270
[2013-12-08 00:49:54,111]Client(('Latitude', 19526)):INFO: Received result 11:513 time taken: 6.467921
[2013-12-08 00:49:55,243]Client(('Latitude', 29417)):INFO: Received result 11:522 time taken: 5.373654
[2013-12-08 00:49:57,644]Client(('Latitude', 38473)):INFO: Received result 12:531 time taken: 4.652443
[2013-12-08 00:49:57,813]Client(('Latitude', 26810)):INFO: Received result 10:540 time taken: 3.719378
[2013-12-08 00:50:01,502]Client(('Latitude', 21586)):INFO: Received result 12:549 time taken: 7.423682
[2013-12-08 00:50:01,507]Client(('Latitude', 19526)):INFO: Received result 12:558 time taken: 7.362876
[2013-12-08 00:50:01,535]Client(('Latitude', 29417)):INFO: Received result 12:567 time taken: 6.259712
[2013-12-08 00:50:01,580]Client(('Latitude', 38473)):INFO: Received result 13:576 time taken: 3.838259
[2013-12-08 00:50:01,605]Client(('Latitude', 26810)):INFO: Received result 11:585 time taken: 3.784575
[2013-12-08 00:50:03,190]Client(('Latitude', 21586)):INFO: Received result 13:594 time taken: 1.662364
[2013-12-08 00:50:07,168]Client(('Latitude', 19526)):INFO: Received result 13:603 time taken: 5.645292
[2013-12-08 00:50:07,171]Client(('Latitude', 29417)):INFO: Received result 13:612 time taken: 5.627070
[2013-12-08 00:50:07,211]Client(('Latitude', 38473)):INFO: Received result 14:621 time taken: 5.625111
[2013-12-08 00:50:07,369]Client(('Latitude', 26810)):INFO: Received result 12:630 time taken: 5.757715
[2013-12-08 00:50:08,811]Client(('Latitude', 21586)):INFO: Received result 14:639 time taken: 5.546429
[2013-12-08 00:50:11,111]Client(('Latitude', 29417)):INFO: Received result 14:648 time taken: 3.869172
[2013-12-08 00:50:12,252]Client(('Latitude', 19526)):INFO: Received result 14:657 time taken: 4.994307
[2013-12-08 00:50:12,452]Client(('Latitude', 38473)):INFO: Received result 15:666 time taken: 5.189428
[2013-12-08 00:50:13,321]Client(('Latitude', 26810)):INFO: Received result 13:675 time taken: 5.945219
[2013-12-08 00:50:13,436]Client(('Latitude', 21586)):INFO: Received result 15:684 time taken: 4.570375
[2013-12-08 00:50:14,998]Client(('Latitude', 29417)):INFO: Received result 15:693 time taken: 3.862742
[2013-12-08 00:50:17,383]Client(('Latitude', 19526)):INFO: Received result 15:702 time taken: 5.081156
[2013-12-08 00:50:21,573]Client(('Latitude', 38473)):INFO: Received result 16:711 time taken: 9.087512
[2013-12-08 00:50:22,172]Client(('Latitude', 26810)):INFO: Received result 14:720 time taken: 8.842684
[2013-12-08 00:50:24,169]Client(('Latitude', 21586)):INFO: Received result 16:729 time taken: 10.724276
[2013-12-08 00:50:24,460]Client(('Latitude', 29417)):INFO: Received result 16:738 time taken: 9.454664
[2013-12-08 00:50:24,545]Client(('Latitude', 19526)):INFO: Received result 16:747 time taken: 7.142070
[2013-12-08 00:50:28,550]Client(('Latitude', 38473)):INFO: Received result 17:756 time taken: 6.913797
[2013-12-08 00:50:28,856]Client(('Latitude', 26810)):INFO: Received result 15:765 time taken: 6.671456
[2013-12-08 00:50:34,406]Client(('Latitude', 21586)):INFO: Received result 17:774 time taken: 10.228783
[2013-12-08 00:50:34,409]Client(('Latitude', 29417)):INFO: Received result 17:783 time taken: 9.942922
[2013-12-08 00:50:36,771]Client(('Latitude', 19526)):INFO: Received result 17:792 time taken: 12.219243
